categoria,par,n,acuerdo,kappa
voto_inicial,opus5-gpt55,210,1.0,1.0
voto_inicial,opus5-grok46,210,1.0,1.0
voto_inicial,gpt55-grok46,210,1.0,1.0
voto_inicial,todos,210,1.0,
voto_final,opus5-gpt55,210,1.0,1.0
voto_final,opus5-grok46,210,1.0,1.0
voto_final,gpt55-grok46,210,1.0,1.0
voto_final,todos,210,1.0,
modificacion,opus5-gpt55,210,0.938,0.791
modificacion,opus5-grok46,210,0.938,0.763
modificacion,gpt55-grok46,210,0.943,0.778
modificacion,todos,210,0.91,
voto_condicionado,opus5-gpt55,210,0.919,0.847
voto_condicionado,opus5-grok46,210,0.929,0.86
voto_condicionado,gpt55-grok46,210,0.938,0.879
voto_condicionado,todos,210,0.895,
argumento_principal,opus5-gpt55,210,0.833,0.788
argumento_principal,opus5-grok46,210,0.795,0.742
argumento_principal,gpt55-grok46,210,0.867,0.83
argumento_principal,todos,210,0.767,
escazu,opus5-gpt55,210,0.986,0.941
escazu,opus5-grok46,210,0.99,0.961
escazu,gpt55-grok46,210,0.995,0.98
escazu,todos,210,0.986,
antecedente_externo,opus5-gpt55,210,0.781,0.621
antecedente_externo,opus5-grok46,210,0.648,0.493
antecedente_externo,gpt55-grok46,210,0.562,0.377
antecedente_externo,todos,210,0.505,
afirmacion_sobre_el_debate,opus5-gpt55,210,0.757,0.655
afirmacion_sobre_el_debate,opus5-grok46,210,0.824,0.746
afirmacion_sobre_el_debate,gpt55-grok46,210,0.781,0.692
afirmacion_sobre_el_debate,todos,210,0.686,
lectura_del_proceso_de_redaccion,opus5-gpt55,210,0.729,0.434
lectura_del_proceso_de_redaccion,opus5-grok46,210,0.671,0.356
lectura_del_proceso_de_redaccion,gpt55-grok46,210,0.781,0.563
lectura_del_proceso_de_redaccion,todos,210,0.59,
reconoce_limites_de_informacion,opus5-gpt55,210,0.919,0.828
reconoce_limites_de_informacion,opus5-grok46,210,0.838,0.632
reconoce_limites_de_informacion,gpt55-grok46,210,0.852,0.655
reconoce_limites_de_informacion,todos,210,0.805,
beneficiario_principal,opus5-gpt55,210,0.824,0.749
beneficiario_principal,opus5-grok46,210,0.895,0.85
beneficiario_principal,gpt55-grok46,210,0.852,0.786
beneficiario_principal,todos,210,0.786,
nombra_actor_concreto,opus5-gpt55,210,0.79,0.416
nombra_actor_concreto,opus5-grok46,210,0.781,0.37
nombra_actor_concreto,gpt55-grok46,210,0.952,0.765
nombra_actor_concreto,todos,210,0.762,
revision_en_turno2,opus5-gpt55,210,0.805,0.635
revision_en_turno2,opus5-grok46,210,0.795,0.64
revision_en_turno2,gpt55-grok46,210,0.814,0.672
revision_en_turno2,todos,210,0.71,
por_que_ahora,opus5-gpt55,210,0.676,0.605
por_que_ahora,opus5-grok46,210,0.59,0.487
por_que_ahora,gpt55-grok46,210,0.667,0.596
por_que_ahora,todos,210,0.5,
registro,opus5-gpt55,210,0.814,0.513
registro,opus5-grok46,210,0.857,0.403
registro,gpt55-grok46,210,0.767,0.289
registro,todos,210,0.719,
ante_el_bloque,opus5-gpt55,210,0.995,0.99
ante_el_bloque,opus5-grok46,210,0.986,0.969
ante_el_bloque,gpt55-grok46,210,0.99,0.979
ante_el_bloque,todos,210,0.986,
tension_reconocida,opus5-gpt55,210,0.948,0.886
tension_reconocida,opus5-grok46,210,0.962,0.917
tension_reconocida,gpt55-grok46,210,0.986,0.969
tension_reconocida,todos,210,0.948,
costo_politico,opus5-gpt55,210,0.938,0.862
costo_politico,opus5-grok46,210,0.933,0.852
costo_politico,gpt55-grok46,210,0.976,0.947
costo_politico,todos,210,0.924,
lectura_del_articulo_14,opus5-gpt55,210,0.962,0.893
lectura_del_articulo_14,opus5-grok46,210,0.952,0.865
lectura_del_articulo_14,gpt55-grok46,210,0.981,0.945
lectura_del_articulo_14,todos,210,0.952,
