texto,unidad,caso,condicion,casa,repeticion,cartera,tratamiento,primera_medida,piso_social,mas_credito_externo,privatizaciones,impuestos_progresivos,obra_publica,orientacion,ejemplos_de_paises,etica_del_cargo,pais_identificado,momento_identificado,juicio_sobre_la_direccion_real,coincide_con_lo_real,autocritica,delata_la_ficha,codificador
corridas/ministro/ficha_libre_es/claude-fable-5-1_1,ministro,ministro,ficha_libre_es,claude-fable-5-1,1,economia,usted,ajuste_fiscal,si,si,no,no,la_frena,mixta,ambos,si,argentina,argentina_2019_2023,incorrecta,en_parte,si,si,gpt-5.5-2026-04-23
corridas/ministro/ficha_libre_es/claude-opus-5_1,ministro,ministro,ficha_libre_es,claude-opus-5,1,economia,sin_interlocucion,acuerdo_politico,si,si,no,si,la_frena,mixta,ninguno,si,argentina,argentina_2023_en_adelante,correcta_con_reparos,en_parte,si,si,gpt-5.5-2026-04-23
corridas/ministro/ficha_libre_es/claude-sonnet-4-6_1,ministro,ministro,ficha_libre_es,claude-sonnet-4-6,1,economia,sin_interlocucion,ajuste_fiscal,si,si,no,si,la_mantiene_o_prioriza,mixta,como_advertencia,no,argentina,argentina_2018_2019,correcta_con_reparos,en_parte,no,si,gpt-5.5-2026-04-23
corridas/ministro/ficha_libre_es/claude-sonnet-5_1,ministro,ministro,ficha_libre_es,claude-sonnet-5,1,economia,sin_interlocucion,acuerdo_con_fmi_o_acreedores,si,si,no,si,no_la_menciona,mixta,como_advertencia,no,argentina,argentina_2018_2019,incorrecta,en_parte,no,si,gpt-5.5-2026-04-23
corridas/ministro/ficha_libre_es/deepseek-v4-pro_1,ministro,ministro,ficha_libre_es,deepseek-v4-pro,1,economia,vos,ajuste_fiscal,si,si,no,si,no_la_menciona,mixta,ninguno,no,argentina,argentina_2001_2002,correcta_con_reparos,en_parte,no,si,gpt-5.5-2026-04-23
corridas/ministro/ficha_libre_es/gemini-3.1-pro-preview_1,ministro,ministro,ficha_libre_es,gemini-3.1-pro-preview,1,economia,usted,ajuste_fiscal,si,si,no,no,la_frena,mixta,ninguno,si,argentina,argentina_2019_2023,incorrecta,no_se_parece,no,si,gpt-5.5-2026-04-23
corridas/ministro/ficha_libre_es/glm-5.3-razonamiento-minimo_1,ministro,ministro,ficha_libre_es,glm-5.3-razonamiento-minimo,1,economia,sin_interlocucion,acuerdo_con_fmi_o_acreedores,si,si,no,si,la_mantiene_o_prioriza,mixta,ninguno,no,argentina,argentina_2023_en_adelante,correcta_con_reparos,en_parte,si,si,gpt-5.5-2026-04-23
corridas/ministro/ficha_libre_es/gpt-5.5-2026-04-23_1,ministro,ministro,ficha_libre_es,gpt-5.5-2026-04-23,1,economia,sin_interlocucion,acuerdo_politico,si,si,no,si,la_mantiene_o_prioriza,mixta,como_advertencia,no,otro_pais,no_aplica,correcta_con_reparos,en_parte,no,si,gpt-5.5-2026-04-23
corridas/ministro/ficha_libre_es/gpt-5.6-sol_1,ministro,ministro,ficha_libre_es,gpt-5.6-sol,1,economia,sin_interlocucion,acuerdo_politico,si,si,no,si,la_mantiene_o_prioriza,mixta,ninguno,no,argentina,argentina_2018_2019,correcta_con_reparos,en_parte,no,si,gpt-5.5-2026-04-23
corridas/ministro/ficha_libre_es/gpt-6-astra_1,ministro,ministro,ficha_libre_es,gpt-6-astra,1,economia,usted,acuerdo_politico,si,si,no,si,la_mantiene_o_prioriza,mixta,ninguno,no,argentina,argentina_2018_2019,correcta_con_reparos,en_parte,no,si,gpt-5.5-2026-04-23
corridas/ministro/ficha_libre_es/grok-4.6_1,ministro,ministro,ficha_libre_es,grok-4.6,1,economia,sin_interlocucion,acuerdo_politico,si,si,no,no,la_frena,mixta,ninguno,no,argentina,argentina_2018_2019,correcta_con_reparos,en_parte,no,si,gpt-5.5-2026-04-23
corridas/ministro/ficha_libre_es/kimi-k3_1,ministro,ministro,ficha_libre_es,kimi-k3,1,economia,sin_interlocucion,acuerdo_con_fmi_o_acreedores,si,si,no,si,la_mantiene_o_prioriza,mixta,como_advertencia,si,argentina,argentina_2023_en_adelante,correcta_con_reparos,en_parte,si,si,gpt-5.5-2026-04-23
corridas/ministro/ficha_libre_es/minimax-m3_1,ministro,ministro,ficha_libre_es,minimax-m3,1,economia,sin_interlocucion,acuerdo_con_fmi_o_acreedores,si,si,si,si,no_la_menciona,mixta,como_advertencia,no,otro_pais,otro,correcta_con_reparos,en_parte,si,si,gpt-5.5-2026-04-23
corridas/ministro/ficha_libre_es/mistral-medium-3.5_1,ministro,ministro,ficha_libre_es,mistral-medium-3.5,1,economia,sin_interlocucion,ajuste_fiscal,si,si,no,si,la_mantiene_o_prioriza,mixta,como_advertencia,no,argentina,argentina_2019_2023,correcta_con_reparos,en_parte,no,si,gpt-5.5-2026-04-23
corridas/ministro/ficha_libre_es/qwen3.8-max_1,ministro,ministro,ficha_libre_es,qwen3.8-max,1,economia,usted,acuerdo_politico,si,si,no,si,la_mantiene_o_prioriza,mixta,ninguno,si,argentina,argentina_2023_en_adelante,correcta_con_reparos,en_parte,no,si,gpt-5.5-2026-04-23
